abrupt (adj)	Sudden (adj); Suddenly (adv)
propagation (n)	Increase (v)
proper (adj)	Correct (adj)
properly (adv)	Correctly (adv)
proportional (adj)	Relation (n); Proportion (n)
proportionally	Relation (n)
protect (v)	Prevent (v); Protection (n)
provide (v)	Give (v); Supply (v)
proximity (n)	Near (prep)
pump (v)	Remove (v); Move (v)
puncture (v)	Hole (n)
purge (v)	Remove (v)
purify (v)	Clean (v)
qualified (adj)	Approved (adj)
quarterly (adv)	Interval (n)
questionable (adj)	
quick (adj)	Quickly (adv)
quit (v)	Go (v); Stop (v)
quote (v)	Give (v)
raise (v)	Lift (v); Increase (v); Retract (v)
rapid (adj)	Fast (adj)
rapidly (adv)	Quickly (adv)
reach (v)	Get (v); Touch (v); Be (v)
reactivate (v)	Activate (v)
reading (n)	Indication (n)
readjust (v)	Adjust (v)
ready (adj)	Prepare (v)
ready (v)	Prepare (v)
real (adj)	Agree (v)
rear of (prep)	Behind (prep)
rearmost (adj)	Rear (n)
reason (n)	Cause (n); Because Of (prep)
reassemble (v)	Assemble (v)
rebuild (v)	Assemble (v)
recess (v)	Recess (n)
recharge (v)	Charge (v); Fill (v); Pressurize (v)
recheck (v)	Measure (v); Examine (v); Check (n)
reclaim (v)	Repair (v)
recleat (v)	Attach (v)
reclose (v)	Close (v)
recoil (v)	Wind (v); Recoil (TN)
recondition (v)	Repair (v); Overhaul (TN)
reconstruction (n)	Repair (n); Repair (v)
recover (v)	Collect (v)
rectify (v)	Correct (v)
recur (v)	Occur (v)
reduce (v)	Decrease (v)
reference (n)	Refer (v)
referenced (adj)	Show (v)
refill (v)	Fill (v)
refit (v)	Install (v); Repair (v)
reflect (v)	Reflection (n)
register (v)	Show (v)
regrease (v)	Apply (v); More (adj)
regulate (v)	Control (v); Adjust (v)
regulation (n)	Adjustment (n); Control (n); Control (v)
reinflate (v)	Inflate (v)
reinforce (v)	
reinstall (v)	Install (v)
reinstallation (n)	Installation (n)
rejection (n)	Reject (v)
relate (v)	Related (adj)
relay (v)	Send (v)
relevant (adj)	Related (adj); Their (adj); Its (adj)
relieve (v)	Release (v)
remain (v)	Stay (v)
remnant (n)	Remaining (adj)
removable (adj)	Remove (v)
render (v)	Make (v)
renew (v)	New (adj)
renovate (v)	Repair (v); New (adj)
repack (v)	Put (v); Fill (v)
repaint (v)	Paint (v)
repairable (adj)	Repair (v)
repeat (v)	Again (adv)
repeated (adj)	
repeatedly (adv)	
replenish (v)	Fill (v); Add (v); Refuel (v)
reposition (v)	Move (v); Put (v); Set (v)
represent (v)	Show (v)
repressurize (v)	Pressurize (v)
request (n)	Tell (v); Write (v)
request (v)	Tell (v); Write (v)
require (v)	Necessary (adj)
reseal (v)	Seal (v)
reset (v)	Set (v)
residual (adj)	Remaining (adj)
residue (n)	Remaining (adj)
respective (adj)	Related (adj); Correct (adj)
respectively (adv)	Related (adj)
respond (v)	Result (n)
rest (n)	Remaining (adj)
rest (v)	Be (v); Put (v)
restart (v)	Start (v)
restore (v)	Repair (v); Put (v)
restrain (v)	Hold (v); Stop (v); Prevent (v); Limit (n)
restrict (v)	Decrease (v); Prevent (v); Only (adv); Limit (n)
result (v)	Cause (v); Result (n)
resume (v)	Start (v); Continue (v)
retain (v)	Keep (v)
retorque (v)	Torque (v)
retouch (v)	Apply (v); Paint (v)
retractable (adj)	Retract (v)
return (n)	Go (v)
return (v)	Go (v)
reusable (adj)	Use (v)
reuse (v)	Use (v)
reveal (v)	Show (v)
reverse (adj)	Opposite (adj)
reverse (v)	Opposite (adj)
review (n)	Inspection (n); Examine (v)
rewind (v)	Wind (v)
rework (v)	
rig (v)	Adjust (v)
right-hand (adj)	Right (adj)
rinse (v)	Flush (v); Remove (v); Clean (v)
ripped (adj)	Damaged (adj)
rise (n)	Increase (v)
rise (v)	Increase (v)
rope off (v)	Rope (TN)
rotary (adj)	Turn (v)
rotate (v)	Turn (v)
rotation (n)	Turn (v)
rotational (adj)	Turn (v)
roughen (v)	Rough (adj)
roughness (n)	Rough (adj)
round (adj)	Circular (adj)
route (n)	Routing (n)
route (v)	Put (v); Routing (n)
routine (adj)	Usual (adj)
run (v)	Operate (v)
running (adj)	Flush (v)
safety-clip (v)	Lock (v); Safety (v)
safety-wire (v)	Lock (v); Safety (v)
sample (v)	Sample (n)
saturate (v)	Soak (v)
save (v)	Keep (v)
scan (v)	Examine (v); Scan (TN)
scored (adj)	Score (TN)
scrap (v)	Discard (v)
scrape (v)	Remove (v)
scratched (adj)	Scratch (TN)
screw (v)	Turn (v); Attach (v)
scrub (v)	Clean (v)
search (v)	Examine (v)
seat (v)	Install (v); Against (prep)
secure (adj)	Tight (adj); Safe (adj); Correctly (adv)
secure (v)	Attach (v); Safety (v)
securely (adv)	Correctly (adv); Safely (adv); Tight (adj)
security (n)	Correctly (adv)
seek (v)	Get (v)
seepage (n)	Leakage (n)
seized (adj)	Catch (v); Move (v); Turn (v)
separable (adj)	Disassemble (v); Disconnect (v)
separate (adj)	Isolated (adj); Different (adj)
separate (v)	Disconnect (v); Divide (v)
separately (adv)	Independently (adv)
serious (adj)	Important (adj); Dangerous (adj)
serrated (adj)	Serration (n)
serve (v)	
service (v)	Servicing (n)
serviceability (n)	Serviceable (adj)
setting (n)	Adjustment (n); Position (n); Set (v)
settle (v)	Collect (v); Stable (adj)
sever (v)	Cut (v)
several (adj)	Some (adj)
severe (adj)	Dangerous (adj)
shall (v)	Must (v)
shape (v)	Shape (n)
sharply (adv)	Quickly (adv); Suddenly (adv)
shear (v)	Break (v); Cut (v)
shield (v)	Prevent (v); Protection (n)
shift (v)	Move (v)
shorten (v)	Decrease (v)
should (v)	Must (v); If (conj)
shut down (v)	Stop (v)
sideways (adv)	Side (n)
sight (n)	View (n)
sight (v)	Look (v)
significant (adj)	Important (adj)
silence (v)	Stop (v)
similar (adj)	Equivalent (adj)
simultaneous (adj)	
situated (adj)	Install (v); Be (v)
situation (n)	Condition (n)
size (n)	Dimension (n)
skid (v)	Skid (TN)
slack (adj)	Tension (TN)
slack (n)	Tension (TN)
slacken (v)	Tension (TN)
slackness (n)	Tension (TN)
slave (v)	Control (v)
slide (v)	Move (v)
slight (adj)	Small (adj); Light (adj)
slightly (adv)	Small (adj)
slip (v)	Move (v); Remove (v)
slow down (v)	Decrease (v)
sluggish (adj)	Slow (adj)
smear (v)	Apply (v)
smooth (v)	Smooth (adj)
snag (v)	Catch (v)
snap (n)	Click (n)
snap (v)	Break (v)
soapy (adj)	Soap (TN)
soften (v)	
soiled (adj)	Dirty (adj)
solidify (v)	Solid (adj)
solve (v)	Solution (n)
soon (adv)	Time (n)
sound (v)	Operate (v)
space (v)	Distance (n)
spacing (n)	Distance (n)
spanwise (adj)	Span (TN)
sparingly (adv)	Quantity (n)
spark (v)	Spark (n)
specific (adj)	Approved (adj); Specified (adj)
specifically (adv)	Specially (adv)
speck (n)	Particle (n)
speech (n)	Voice (n)
spillage (n)	Contamination (n); Spill (v)
spin (v)	
splash (v)	Get (v)
splined (adj)	Spline (TN)
split (adj)	Damaged (adj)
split (v)	Divide (v); Break (v)
spot (n)	Mark (n); Stain (TN)
spot (v)	Find (v)
spread (v)	Apply (v)
spring (v)	Move (v)
spurious (adj)	Unwanted (adj)
stability (n)	Stable (adj)
stabilization (n)	Stable (adj)
stabilize (v)	Stable (adj)
stage (n)	Step (n)
stained (adj)	Dirty (adj); Stain (TN)
stamp (v)	Put (v); Identify (v)
stand (v)	Stay (v)
starboard (adj)	Right (adj)
state (n)	Condition (n)
state (v)	Tell (v)
station (v)	Put (v)
stationary (adj)	Stable (adj); Stop (v)
steadily (adv)	Continuously (adv)
steady (adj)	Stable (adj)
stick (v)	Attach (v); Freely (adv); Catch (v)
sticky (adj)	Tacky (adj)
stiff (adj)	Move (v)
still (adv)	Stay (v); Continue (v)
stimulate (v)	Increase (v)
stir (v)	Mix (v)
store (v)	Keep (v); Contain (v); Storage (TN)
straighten (v)	Straight (adj)
strain (v)	Filter (TN); Strain (TN)
strap (v)	Attach (v)
stress (v)	Force (TN)
strictly (adv)	Fully (adv)
strike (v)	Hit (v)
strip (v)	Remove (v)
striped (adj)	Stripe (n)
stroke (n)	Travel (n)
submerge (v)	Put (v)
submit (v)	Send (v)
subsequent to	After (conj)
substance (n)	Material (n)
substitute (adj)	Equivalent (adj); Alternative (adj)
substitute (n)	Alternative (n)
substitute (v)	Replace (v)
successful (adj)	Correct (adj); Satisfactory (adj)
suck (v)	Remove (v)
suitable (adj)	Applicable (adj); Correct (adj)
suitably (adv)	Sufficiently (adv)
support (n)	Support (TN); Hold (v)
support (v)	Hold (v); Support (TN)
surplus (adj)	Unwanted (adj)
surrounding (adj)	Adjacent (adj); Around (prep)
survey (v)	Examine (v); Inspection (n)
suspect (adj)	Think (v)
suspect (v)	Think (v)
suspend (v)	Hang (v); Stop (v)
swap (v)	Interchange (v)
sweep (v)	Scan (TN)
swing (v)	Move (v); Calibrate (v)
switch (v)	Set (v)
switch off (v)	Set (v); Stop (v); De-Energize (v)
switch on (v)	Set (v); Start (v); Energize (v)
synchronize (v)	Adjust (v)
take (v)	Remove (v); Read (v); Get (v); Necessary (adj)
take care (v)	Make Sure (v); Obey (v); Do Not (v); Careful (adj)
talk (v)	Speak (v)
tape (v)	Tape (TN)
taut (adj)	Tension (TN)
tear (v)	Damage (n)
technique (n)	Method (n)
tension (v)	Tension (TN)
terminate (v)	Stop (v)
test (v)	Test (n)
therefore (adv)	Thus (adv)
thin (v)	Liquid (adj)
thorough (adj)	Full (adj)
thoroughly (adv)	Fully (adv)
thread (v)	Put (v); Turn (v)
threaded (adj)	Thread (TN)
throughout (prep)	During (prep)
tie (v)	Attach (v)
till (conj)	Until (conj)
time (v)	Time (n)
tip (n)	Point (n)
tip (v)	Tilt (v)
top off (v)	Fill (v); Add (v)
toward (prep)	To (prep); Direction (n)
toxic (adj)	Poisonous (adj)
trace (n)	Sign (n)
trace (v)	Find (v)
track (v)	Monitor (v)
trained (adj)	Approved (adj)
transfer (n)	Movement (n); Supply (n)
transfer (v)	Move (v); Install (v)
transition (n)	Change (n)
transport (v)	Send (v)
trapped (adj)	Caught (adj)
travel (v)	Go (v); Move (v)
treat (v)	Apply (v); Touch (v)
trigger (v)	Cause (v); Start (v)
trim (v)	Cut (v)
trip (v)	Open (v); Release (v)
troubleshoot (v)	
true (adj)	Correct (adj); Agree (v)
tuck (v)	Put (v)
turn off (v)	Set (v); Stop (v); De-Energize (v)
turn on (v)	Set (v); Start (v); Energize (v)
turn over (v)	Turn (v)
twice (adv)	Two (TN)
unable (adj)	Cannot (v)
unauthorized (adj)	
uncap (v)	Remove (v)
unclip (v)	Remove (v)
uncoil (v)	Unwind (v)
uncontaminated	Clean (adj); Contamination (n)
uncouple (v)	Disconnect (v)
uncovered (adj)	Cover (TN)
undamaged (adj)	
under (prep)	Below (prep); In (prep)
underneath (prep)	Below (prep)
underside (n)	Bottom (n)
undertake (v)	Do (v); Start (v)
undo (v)	Loosen (v)
undue (adj)	Unwanted (adj)
uneven (adj)	Equal (adj); Rough (adj)
uniform (adj)	Constant (adj); Equal (adj)
uniformly (adv)	Equally (adv)
unintentional (adj)	Accidental (adj)
unintentionally	Accidentally (adv)
unlatch (v)	Release (v); Open (v)
unload (v)	Release (v); Load (TN)
unnecessary (adj)	
unobstructed (adj)	Clogged (adj); Clear (adj)
unpack (v)	Remove (v)
unpainted (adj)	Bare (adj)
unplug (v)	Disconnect (v); Plug (TN)
unprotected (adj)	Protection (n)
unreel (v)	Unwind (v)
unrestricted (adj)	Free (adj)
unsafe (adj)	Dangerous (adj)
unscrew (v)	Loosen (v); Turn (v); Remove (v)
unstable (adj)	
unused (adj)	New (adj)
upon (prep)	On (prep); When (conj)
upper (adj)	Maximum (adj); Top (adj)
uppermost (adj)	Up (adv)
uppermost (adv)	Up (adv)
up to (prep)	Until (prep); Thru (prep); Maximum (n)
upward (adv)	Up (adv)
urgently (adv)	Immediately (adv)
usage (n)	Use (v)
use (n)	Operation (n); Use (v)
utilization (n)	Use (v)
utilize (v)	Use (v)
valid (adj)	Correct (adj); Applicable (adj)
validity (n)	Correct (adj); Applicable (adj)
variable (adj)	Change (v)
various (adj)	Different (adj)
vary (v)	Change (v)
vent (v)	Release (v); Flow (v); Open (adj)
ventilate (v)	Airflow (n)
ventilation (n)	Airflow (n)
verify (v)	Make Sure (v)
via (prep)	Through (prep)
vibrate (v)	Vibration (n)
vicinity (n)	Near (prep); Adjacent (adj)
view (v)	See (v); Look (v)
vigorous (adj)	Force (TN)
vigorously (adv)	Force (TN)
visible (adj)	See (v); View (n)
vital (adj)	Mandatory (adj)
volatile (adj)	
warm (v)	Warm (adj)
warn (v)	Tell (v); Warning (TN)
wash (v)	Clean (v)
watch (v)	Monitor (v); Look (v)
watertight (adj)	Seal (v)
way (n)	Procedure (n)
weakness (n)	Weak (adj)
weep (n)	Leakage (n)
well (adv)	Correctly (adv); Good (adj); Fully (adv)
whenever (conj)	When (conj)
whether (conj)	If (conj)
whichever (adj)	That (pron)
whichever (pron)	That (pron)
whilst (conj)	While (conj)
whoever (pron)	Who (pron)
whole (adj)	Full (adj); All (adj)
wholly (adv)	Fully (adv)
whose (pron)	
windy (adj)	Wind (TN)
wipe (v)	Clean (v)
wire (v)	Attach (v)
wire-lock (v)	Lock (v); Safety (v)
withdraw (v)	Remove (v)
within (prep)	In (prep)
withstand (v)	Resistant (adj)
work (v)	Work (n)
would (v)	Can (v)
wrap (v)	Put (v); Wind (v)
wrong (adj)	Incorrect (adj)
wrongly (adv)	Incorrectly (adv)
yet (conj)	But (conj)
yet (adv)	
yourself (pron)	You (pron)
zero (v)	Zero (TN)
